,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
44,Jodhpur to Ajmer,FlixBus,A/C Sleeper (2+1),19:00,23:50,04h 50m,INR 99,25 Seats available,5.0
45,Jodhpur to Ajmer,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,INR 500,40 Seats available,3.7
46,Jodhpur to Ajmer,SHRI VISHWAKARMA TRAVELS (KETU),A/C Sleeper (2+1),21:00,02:30,05h 30m,INR 700,32 Seats available,3.5
47,Jodhpur to Ajmer,Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:16,02:16,05h 00m,INR 400,29 Seats available,3.5
48,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),21:45,03:45,06h 00m,INR 400,50 Seats available,3.6
49,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),22:15,02:55,04h 40m,INR 450,36 Seats available,3.6
50,Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),22:26,03:11,04h 45m,INR 650,33 Seats available,3.4
51,Jodhpur to Ajmer,Swagat Travels,A/C Seater / Sleeper (2+1),22:42,02:50,04h 08m,INR 450,41 Seats available,3.3
52,Jodhpur to Ajmer,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),22:45,03:15,04h 30m,INR 500,34 Seats available,3.3
53,Jodhpur to Ajmer,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04:00,04h 30m,INR 400,38 Seats available,4.0
54,Jodhpur to Ajmer,Gorsiya Travels,A/C Seater / Sleeper (2+1),23:40,04:15,04h 35m,INR 600,38 Seats available,3.5
55,Jodhpur to Ajmer,Shree Ganesh Travels,A/C Seater / Sleeper (2+1),23:55,04:30,04h 35m,INR 400,38 Seats available,3.2
56,Jodhpur to Ajmer,Jakhar Travels And Cargo,A/C Sleeper (2+1),23:59,04:00,04h 01m,INR 600,36 Seats available,3.6
57,Jodhpur to Ajmer,Shre Ganesh Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,04:15,04h 16m,INR 600,38 Seats available,3.3
58,Jodhpur to Ajmer,Kallar Travels,A/C Seater / Sleeper (2+1),00:30,05:45,05h 15m,INR 600,39 Seats available,2.7
59,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,NON AC Seater / Sleeper 2+1,07:30,12:25,04h 55m,INR 330,38 Seats available,1.0
60,Jodhpur to Ajmer,Laxmi traveller,NON A/C Seater/ Sleeper (2+1),09:30,14:30,05h 00m,INR 330,31 Seats available,2.2
61,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,11:00,15:30,04h 30m,INR 330,36 Seats available,2.5
